ID	Symptom	Cause	Repair	time_to_resolve	n_watchers	n_comments	Priority	Project
TOBAGO-572	Crash	Problems in languages	Bypassing APIs with bugs	89435	2	17	Minor	TOBAGO
TOMEE-2181	Crash	Problems in settings	Modifying my settings	2301	4	7	Major	TOMEE
TOMEE-2183	Crash	Problems in settings	Modifying my settings	2039	4	16	Major	TOMEE
TOREE-353	Unexpected behavior	Problems in my libraries	Unfixed problems	932	3	3	Major	TOREE
TOREE-411	Unexpected behavior	Problems in my libraries	Modifying the settings of libraries	96	4	12	Major	TOREE
TOREE-428	Crash	Problems in my libraries	Bypassing APIs with bugs	3294	7	7	Major	TOREE
WEEX-229	Unexpected behavior	Problems in my clients	Modifying input formats	1828	2	1	Major	WEEX
XMLBEANS-512	Crash	Problems in my libraries	Switching to other libraries	39387	5	2	Major	XMLBEANS
YARN-8279	Crash	Problems in settings	Modifying my settings	3669	4	4	Major	YARN
ZEPPELIN-2877	Build and testing error	Problems in my libraries	Switching to older versions + Modifying build files or options	6941	5	3	Minor	ZEPPELIN
ZEPPELIN-3195	Unexpected behavior	Problems in settings	Modifying documents	731	1	7	Major	ZEPPELIN
ZEPPELIN-3918	Build and testing error	Problems in my libraries	Switching to newer versions	148	4	2	Major	ZEPPELIN
ZEPPELIN-4002	Unexpected behavior	Problems in my clients	Modifying input values	118	3	1	Major	ZEPPELIN
ZOOKEEPER-3151	Build and testing error	Problems in settings	Modifying my settings	4	3	5	Minor	ZOOKEEPER
